uf;abstencao_analfabetos;eleitorado_analfabetos;taxa_abstencao_analfabetos;abstencao_deficientes;eleitorado_deficientes;taxa_abstencao_deficientes;;;
AC;24.466;49.707;49,22%;1.104;3.099;35,62%;;;
AL;107.221;244.677;43,82%;5.463;15.353;35,58%;;;
AM;77.306;135.254;57,16%;5.613;16.109;34,84%;;;
AP;8.030;17.636;45,53%;1.326;3.818;34,73%;;;
BA;385.788;773.700;49,86%;23.179;62.794;36,91%;;;
CE;211.159;504.113;41,89%;23.675;65.168;36,33%;;;
DF;10.287;17.588;58,49%;4.014;13.711;29,28%;;;
ES;63.061;106.467;59,23%;8.029;24.120;33,29%;;;
GO;69.430;127.317;54,53%;9.317;24.504;38,02%;;;
MA;205.733;448.159;45,91%;10.033;30.297;33,12%;;;
MG;413.485;708.079;58,40%;36.628;98.604;37,15%;;;
MS;41.151;73.410;56,06%;6.142;16.743;36,68%;;;
MT;56.723;97.626;58,10%;4.195;11.287;37,17%;;;
PA;190.735;344.957;55,29%;22.998;59.027;38,96%;;;
PB;87.591;211.163;41,48%;6.390;17.939;35,62%;;;
PE;219.079;467.774;46,83%;13.340;36.150;36,90%;;;
PI;77.153;214.552;35,96%;5.795;17.996;32,20%;;;
PR;110.694;201.717;54,88%;33.821;84.007;40,26%;;;
RJ;167.081;246.572;67,76%;32.764;86.656;37,81%;;;
RN;66.403;155.461;42,71%;12.791;31.774;40,26%;;;
RO;31.597;53.672;58,87%;4.153;10.584;39,24%;;;
RR;3.985;9.290;42,90%;805;2.775;29,01%;;;
RS;92.403;158.271;58,38%;22.732;60.307;37,69%;;;
SC;40.472;72.893;55,52%;9.134;29.527;30,93%;;;
SE;42.706;90.662;47,10%;2.586;8.426;30,69%;;;
SP;471.159;748.324;62,96%;139.807;426.619;32,77%;;;
TO;26.368;60.003;43,94%;3.277;10.804;30,33%;;;
ZZ;616;850;72,47%;1.866;3.535;52,79%;;;
